spilled_vgpr,code_bytes,lds,scratch,waves_per_simd,instructions,latency,inv_throughput,vmem_clause,stall_pct
0,391240,0,0,1,61535,359908,359908,19,0.0
0,285300,0,0,1,44979,184437,184437,6,0.0
0,285304,0,0,1,44979,184437,184437,6,0.0
0,150660,0,0,2,23284,53876,33053,9,38.6
67,93544,0,9216,1,14934,60168,60168,156,0.0
0,48848,0,0,2,8184,34054,29767,67,12.6
14,50316,0,4096,1,8077,82183,82183,33,0.0
14,50280,0,4096,1,8062,82149,82149,34,0.0
37,50252,0,10240,1,8030,82077,82077,69,0.0
0,36440,0,0,3,5881,12230,10279,10,16.0
0,36484,0,0,3,5873,12176,10272,10,15.6
0,36408,0,0,3,5863,12176,10237,10,15.9
0,20840,0,0,2,3306,7758,7186,5,7.4
0,14680,2560,0,7,2669,149449,98435,23,34.1
0,9340,0,0,4,1847,8864,4587,39,48.3
0,8496,0,0,8,1747,13263,2375,69,82.1
0,9320,4608,0,4,1730,4639,2694,30,41.9
0,7476,2048,0,4,1639,110422,81769,7,25.9
0,7948,0,0,8,1591,13947,2341,47,83.2
0,11636,0,0,1,1586,55060,55060,25,0.0
0,7824,4608,0,5,1547,4170,1697,35,59.3
0,6028,4608,0,6,1122,3430,1712,25,50.1
0,5808,4608,0,6,1093,3849,1345,44,65.1
0,5312,0,0,4,1072,3643,2682,16,26.4
0,5512,2048,0,8,1037,23534,5125,11,78.2
0,4584,0,0,7,919,39997,8019,34,80.0
0,4180,0,0,8,839,15776,3310,24,79.0
0,3240,0,0,7,643,3608,2382,11,34.0
0,2924,4096,0,5,598,4879,1489,24,69.5
0,2876,0,0,5,562,3548,2480,10,30.1
0,2784,0,0,5,520,4419,3659,2,17.2
0,2604,1024,0,8,512,4055,1175,9,71.0
0,2556,0,0,8,459,4899,1831,15,62.6
0,2332,4096,0,7,442,2077,996,14,52.0
0,2184,0,0,5,429,2244,599,18,73.3
0,2376,0,0,8,406,2252,618,8,72.6
0,1972,5120,0,8,370,2710,522,10,80.7
0,1856,8192,0,4,363,4242,1061,3,75.0
0,1704,0,0,8,321,1530,676,3,55.8
0,1600,0,0,4,320,2079,671,13,67.7
0,1372,0,0,8,260,1418,670,8,52.8
0,1288,0,0,8,232,1668,1196,1,28.3
0,1148,0,0,8,222,5212,1192,12,77.1
0,1156,0,0,8,220,6646,1640,11,75.3
0,1160,2560,0,8,217,1747,357,5,79.6
0,1032,0,0,8,209,1333,823,4,38.3
0,1060,0,0,8,206,1604,495,8,69.1
0,940,2560,0,8,172,1367,253,5,81.5
0,780,0,0,8,154,1328,168,9,87.3
0,744,0,0,8,148,6008,1552,2,74.2
0,740,0,0,8,148,6008,1552,2,74.2
0,740,0,0,8,147,6004,1552,2,74.2
0,740,0,0,8,145,5996,1544,2,74.2
0,748,10240,0,6,145,3680,958,2,74.0
0,700,0,0,8,140,768,412,3,46.4
0,668,0,0,8,137,823,496,2,39.7
0,652,4096,0,8,136,1166,453,2,61.1
0,696,512,0,8,135,1105,142,6,87.1
0,676,0,0,8,135,768,392,3,49.0
0,692,512,0,8,134,1139,257,2,77.4
0,664,0,0,8,131,756,376,3,50.3
0,648,0,0,8,129,828,366,1,55.8
0,584,0,0,8,126,948,416,5,56.1
0,632,0,0,8,123,1272,368,3,71.1
0,564,0,0,8,123,940,416,4,55.7
0,548,0,0,8,118,624,184,6,70.5
0,556,0,0,8,107,1766,223,7,87.4
0,428,0,0,8,94,792,304,3,61.6
0,408,0,0,8,91,784,304,2,61.2
0,468,0,0,8,89,533,194,2,63.6
0,416,0,0,8,84,5408,842,6,84.4
0,356,0,0,8,74,684,11520,4,-1584.2
0,356,0,0,8,68,372,268,0,28.0
0,352,0,0,8,64,696,264,3,62.1
0,328,0,0,8,63,736,152,4,79.3
0,340,0,0,8,63,3082,406,10,86.8
0,324,0,0,8,60,340,236,0,30.6
0,292,0,0,8,59,581,271,3,53.4
0,308,0,0,8,59,300,188,0,37.3
0,276,0,0,8,58,783,198,4,74.7
0,296,0,0,8,57,5090,636,5,87.5
0,272,0,0,8,56,582,137,1,76.5
0,312,0,0,8,56,324,220,0,32.1
0,252,0,0,8,50,256,172,0,32.8
0,212,0,0,8,45,741,185,3,75.0
0,180,0,0,8,40,536,116,1,78.4
0,200,0,0,8,38,511,64,4,87.5
0,160,0,0,8,34,448,72,1,83.9
0,164,0,0,8,31,816,102,3,87.5
0,152,0,0,8,29,575,72,2,87.5
0,156,0,0,8,28,578,72,2,87.5
0,168,0,0,8,28,472,72,1,84.7
0,124,0,0,8,25,144,96,0,33.3
0,120,0,0,8,25,1022,256,2,75.0
0,104,0,0,8,22,314,43,1,86.3
0,116,0,0,8,21,476,60,3,87.4
0,100,0,0,8,20,315,39,1,87.6
0,96,0,0,8,20,536,67,2,87.5
0,96,0,0,8,20,416,3328,2,-700.0
0,92,0,0,8,19,311,39,1,87.5
0,80,0,0,8,17,404,3232,1,-700.0
0,88,0,0,8,17,404,3232,3,-700.0
0,96,0,0,8,17,420,52,1,87.6
0,72,0,0,8,16,299,37,1,87.6
0,84,0,0,8,16,404,3232,1,-700.0
0,68,0,0,8,15,299,37,1,87.6
0,72,0,0,8,15,396,3168,1,-700.0
0,84,0,0,8,15,100,44,0,56.0
0,68,0,0,8,14,392,3136,1,-700.0
0,72,0,0,8,14,96,40,0,58.3
0,60,0,0,8,13,299,37,1,87.6
0,76,0,0,8,13,424,53,1,87.5
0,60,0,0,8,11,384,3072,1,-700.0
0,52,0,0,8,10,380,3040,1,-700.0
0,12,0,0,8,2,36,16,0,55.6
