file,bytes,dis_lines,bitfield_extract,imul,iadd,fmul,native_dot
d4ef88fbc345bce2.spv,3285748,166890,46080,23062,23754,608,0
67a84454521597b9.spv,2401364,122049,33792,16931,17162,512,0
54e1606bb5e1d81c.spv,2400980,122027,33792,16931,17162,512,0
33fc02c0d8eb3d9e.spv,1188896,60887,16896,8466,8566,448,0
362807e95e196f1f.spv,1143700,58185,16384,8198,8273,128,0
f0d530d86a183a2a.spv,642604,32985,8704,4413,4460,256,0
4207d8b6d9e46bbb.spv,642588,32984,8704,4413,4460,256,0
9a0c6ad9f44be404.spv,642588,32984,8704,4413,4460,256,0
fefc7217590ecf5e.spv,587368,29889,7680,3850,3946,757,0
669b76f741d49a7e.spv,471488,24096,6656,3340,3407,144,0
e245fad00c7dbfd4.spv,471488,24096,6656,3340,3407,144,0
e67b87ab42f77103.spv,471308,24087,6656,3340,3398,144,0
0626b9977dc10bf7.spv,283744,14545,4096,2054,2086,64,0
c4db51b319b25835.spv,54668,2942,0,76,144,368,0
a2d0e942a730f5c4.spv,52064,2659,0,2,20,223,0
6b3cc915bb990f76.spv,48880,2498,0,76,112,388,0
f542c3d9549c5f24.spv,49708,2303,0,1,51,272,0
c4737920ee00efd9.spv,34652,1835,0,76,92,108,0
996136f00380aba8.spv,33116,1768,0,76,92,72,0
edd5aa65812a1aeb.spv,22084,1197,0,0,38,97,0
90a49fedb470297a.spv,20384,1041,0,25,31,74,0
556fcc9dd47dd8f2.spv,16756,910,0,8,106,0,0
622354d3b6ebddf3.spv,18732,880,0,0,11,148,0
025ee46d7c19e8f4.spv,15124,842,0,4,19,53,0
66db6920829bb0bb.spv,15880,808,0,0,10,92,0
a4f6d1e283088c9e.spv,14360,762,0,44,66,33,0
d9db706c12b54119.spv,14536,740,0,4,25,112,0
ddfbb7e6c3c22eed.spv,14060,737,0,26,46,103,0
204fe5ee798bfb3d.spv,13928,729,0,0,11,101,0
316db05284832f4c.spv,13508,727,0,0,20,72,0
cc5f9516519a5223.spv,13720,717,0,0,14,108,0
0e71331fb491fde4.spv,10692,634,0,23,46,13,0
e98a923b00cb9465.spv,9960,547,0,22,61,0,0
adb0d0c772291f81.spv,10024,503,0,0,2,91,0
5b6917eba4db1f48.spv,8368,461,0,5,5,15,0
f83307c0b203d8c4.spv,8272,416,0,0,0,36,0
afdac983e1f55223.spv,7276,409,0,14,15,12,0
45adfb9f4d8d9302.spv,8128,408,0,0,0,36,0
3ec632744a5b31eb.spv,7504,407,0,1,5,37,0
d06d2c3e781e083c.spv,8048,403,0,0,0,36,0
ea7cf6a8353fe277.spv,6596,401,0,3,24,0,0
4732d3823b8abcb8.spv,7896,394,0,0,0,36,0
cdabc3a28026e3bb.spv,7472,391,0,0,2,75,0
fb4caeadf3c4d93e.spv,7752,386,0,0,0,36,0
d2d02a5be7095fab.spv,7600,377,0,0,0,36,0
a317cddd8e6aa789.spv,7272,370,0,0,0,86,0
3eeaa5ed6126b341.spv,6784,368,0,0,12,19,0
e20cb05865be7fd5.spv,6708,364,0,0,0,29,0
c078821bd0c93fae.spv,6600,359,0,0,12,20,0
68fbd3f7d6275fdb.spv,6552,358,0,0,11,14,0
73c9eb643f2ed91c.spv,6380,347,0,0,12,17,0
5cf620b802c97052.spv,5404,321,0,2,36,0,0
f06f3a5bf8976804.spv,5120,291,0,0,4,30,0
223fdbd1205542f6.spv,4744,286,0,5,33,0,0
161fa971fc44cae6.spv,5200,277,0,1,3,31,0
5c130a65195322b8.spv,5200,277,0,1,3,31,0
a670693ac190f0af.spv,5200,277,0,1,3,31,0
adb3b01e460a6f32.spv,5200,277,0,1,3,31,0
c9da4c3414a186f9.spv,5200,277,0,1,3,31,0
d74888b42d5f6658.spv,5200,277,0,1,3,31,0
e1160c0085119443.spv,5200,277,0,1,3,31,0
97068a1bd14323fa.spv,5184,276,0,1,3,31,0
e481ad77682597b8.spv,5184,276,0,1,3,31,0
9072047933dfef1f.spv,5120,273,0,1,3,29,0
7c24ac2c50ecf88f.spv,4320,265,0,4,25,0,0
2545d7d1b6789f52.spv,4988,261,0,0,0,33,0
943cf3609b7298d7.spv,4560,255,0,16,31,0,0
1a75a55aef97b839.spv,4444,251,0,18,25,0,0
5b2d382e4804c405.spv,4208,249,0,14,16,0,0
e4c2426ec267753c.spv,4540,241,0,2,2,10,0
9aa020e55ed036bf.spv,4196,235,0,0,0,5,0
52fec768365632e4.spv,4024,233,0,0,7,10,0
7cd5ee9508d6ab5f.spv,4004,226,0,7,30,0,0
